national_id,given_name,surname,birth_date,life_stage,deceased,district,observed_at
NID-1001,Miguel,Santos,2016-01-15,child,false,north,2026-06-19T06:11:12Z
NID-1002,Maria,Dela Cruz,2018-01-15,child,false,south,2026-06-19T06:11:12Z
NID-1003,Cara,Okafor,1957-02-14,adult,true,central,2026-06-19T06:11:12Z
NID-1004,Rafael,Aquino,2019-01-15,child,false,east,2026-06-19T06:11:12Z
NID-1005,Rosalie,Bautista,2013-01-15,child,false,west,2026-06-19T06:11:12Z
NID-1006,Miguel,Martinez,2014-01-15,child,false,north,2026-06-19T06:11:12Z
NID-1007,Lola,Santos,1958-01-15,elderly,false,north,2026-06-19T06:11:12Z
NID-1008,Rosa,Garcia,1954-01-15,elderly,false,west,2026-06-19T06:11:12Z
NID-1009,Ana,Mendoza,1998-01-15,adult,false,east,2026-06-19T06:11:12Z
NID-1010,Pedro,Reyes,1971-01-15,adult,false,central,2026-06-17T06:11:12Z
NID-2001,Maria,Santos,1984-01-15,adult,false,north,2026-06-19T06:11:12Z
NID-2002,Juan,Dela Cruz,1988-01-15,adult,false,south,2026-06-19T06:11:12Z
NID-2004,Rosario,Aquino,1988-01-15,adult,false,east,2026-06-19T06:11:12Z
NID-2005,Eduardo,Bautista,1978-01-15,adult,false,west,2026-06-19T06:11:12Z
NID-2006,David,Martinez,1978-01-15,adult,false,north,2026-06-19T06:11:12Z
NID-1011,Miguel,Santos,2016-01-15,child,false,south,
