beneficiary_id,household_size,municipality_code,program,amount_eur,joined_date,last_updated
1654,2,AA001,food_subsidy,760.07,2020-07-03,2019-02-24
1692,2,AA019,housing_support,176.28,2019-01-19,2023-09-01
1616,1,AA018,family_allowance,1818.45,2025-11-12,2020-06-21
1459,5,AA001,family_allowance,1775.53,2021-10-25,2020-05-31
1980,6,AA004,family_allowance,1011.83,2022-01-10,2024-10-08
1270,1,AA015,food_subsidy,399.58,2022-03-31,2021-04-15
1849,6,AA019,family_allowance,1790.97,2018-07-07,2021-03-31
1081,4,AA004,housing_support,767.14,2025-02-16,2019-10-29
1379,6,AA007,food_subsidy,740.75,2025-08-31,2024-10-31
1650,3,AA018,food_subsidy,687.55,2023-03-09,2025-03-06
1704,4,AA011,family_allowance,649.72,2018-05-12,2022-07-02
1274,2,AA007,food_subsidy,2203.28,2021-07-12,2023-08-07
1405,8,AA005,housing_support,435.11,2024-04-18,2024-07-22
1438,7,AA012,family_allowance,2493.58,2019-07-21,2019-01-08
1773,1,AA004,family_allowance,1605.87,2025-08-19,2018-09-18
1394,7,AA020,housing_support,1369.87,2024-03-16,2018-02-17
1696,2,AA018,housing_support,1944.64,2021-10-25,2022-11-16
1161,8,AA001,food_subsidy,2202.05,2020-12-14,
1780,3,AA017,family_allowance,2189.24,2021-05-07,2023-09-11
1623,4,AA005,housing_support,1930.03,2024-01-19,
1944,1,AA020,housing_support,1272.65,2019-04-04,
1899,5,AA008,family_allowance,678.09,2024-05-12,
1087,8,AA003,food_subsidy,1938.0,2019-06-10,2024-03-01
1169,5,AA017,food_subsidy,1115.53,2020-05-17,
1747,4,AA010,housing_support,2488.36,2025-04-15,2023-10-21
1462,2,AA008,family_allowance,253.66,2018-03-28,2020-07-31
1602,4,AA001,family_allowance,1798.82,2018-08-30,2018-05-09
1880,6,AA003,food_subsidy,671.21,2025-07-03,2024-01-18
1135,8,AA008,housing_support,2037.99,2020-02-19,2025-05-23
1441,6,AA014,housing_support,1220.86,2026-03-06,2025-04-30
1661,2,AA002,housing_support,1847.71,2019-03-24,2020-02-19
1549,8,AA005,housing_support,540.37,2023-03-10,2018-11-05
1453,2,AA002,food_subsidy,2498.28,2018-03-02,
1948,4,AA006,housing_support,1265.54,2020-05-25,2018-08-29
1168,7,AA001,housing_support,736.49,2023-02-07,2025-10-24
1748,8,AA005,family_allowance,812.1,2018-08-28,2024-01-30
1062,6,AA002,family_allowance,1502.03,2023-08-22,
1543,3,AA002,food_subsidy,292.27,2020-02-01,2018-10-06
1691,4,AA013,family_allowance,2359.83,2024-05-22,2024-09-01
1040,2,AA014,food_subsidy,1500.81,2023-11-12,2020-12-04
1209,6,AA008,housing_support,1049.89,2025-07-14,2023-02-16
1323,2,AA001,housing_support,1590.78,2024-04-25,
1075,4,AA017,housing_support,417.9,2021-11-30,2020-09-27
1378,5,AA006,housing_support,2100.99,2025-11-21,2025-05-02
1541,1,AA018,housing_support,2336.21,2019-03-01,
1137,5,AA004,family_allowance,1881.8,2019-09-29,2024-10-13
1215,6,AA007,food_subsidy,1622.17,2020-12-17,2020-10-25
1927,1,AA003,food_subsidy,1116.58,2021-02-07,2021-09-28
1789,3,AA009,family_allowance,1878.95,2024-03-09,2024-04-16
1009,2,AA003,food_subsidy,2269.43,2024-02-13,2022-02-21
1596,3,AA014,family_allowance,200.39,2022-02-02,2018-06-13
1920,6,AA007,food_subsidy,698.87,2019-02-26,2024-04-12
1905,7,AA020,food_subsidy,470.93,2020-08-27,2019-12-27
1902,7,AA001,family_allowance,1867.75,2021-09-22,2022-08-14
1821,4,AA009,family_allowance,1989.7,2019-03-19,2018-06-08
1879,8,AA008,family_allowance,2059.81,2023-03-01,2020-07-21
1228,1,AA007,housing_support,887.83,2018-10-12,
1285,6,AA017,housing_support,1730.84,2024-01-06,2018-04-24
1118,5,AA006,food_subsidy,2410.08,2020-12-23,2024-09-09
1444,6,AA011,housing_support,1554.9,2023-09-26,2024-06-19
1194,5,AA002,food_subsidy,1146.54,2023-10-31,
1551,4,AA012,housing_support,267.94,2025-06-13,
1638,6,AA004,food_subsidy,2260.11,2023-09-09,2022-07-31
1334,7,AA010,food_subsidy,405.49,2022-09-19,2022-04-02
1693,3,AA020,food_subsidy,822.28,2024-02-23,2021-05-29
1293,4,AA014,food_subsidy,1555.99,2021-08-12,2022-12-17
1218,8,AA006,food_subsidy,303.51,2023-10-13,2024-12-11
1343,2,AA008,food_subsidy,845.01,2020-03-26,2018-07-09
1250,8,AA020,family_allowance,1193.0,2025-01-23,2026-01-21
1713,7,AA016,housing_support,685.56,2025-05-11,2019-03-13
1797,7,AA008,family_allowance,2029.86,2025-10-21,2018-07-25
1570,4,AA004,housing_support,420.01,2023-03-19,2024-04-08
1609,6,AA015,food_subsidy,2056.02,2023-08-30,2024-02-23
1456,3,AA016,housing_support,722.06,2020-10-09,2021-02-09
1784,8,AA008,housing_support,1155.69,2026-01-01,2021-01-17
1327,2,AA005,family_allowance,655.03,2025-10-13,2020-05-26
1065,7,AA014,housing_support,1402.27,2022-08-31,2022-09-17
1398,1,AA019,housing_support,1244.75,2021-12-11,2022-05-17
1873,7,AA018,food_subsidy,1863.12,2024-10-06,2023-06-23
1224,5,AA014,housing_support,169.66,2021-10-08,2022-07-15
1741,3,AA015,family_allowance,2453.73,2023-12-28,2022-06-02
1606,1,AA003,food_subsidy,1128.67,2023-03-07,2020-12-01
1388,6,AA007,housing_support,884.43,2022-04-02,2022-09-23
1258,2,AA016,family_allowance,1897.66,2018-08-02,
1358,4,AA003,food_subsidy,196.62,2018-05-08,
1204,1,AA020,family_allowance,672.51,2023-04-24,2024-04-29
1970,4,AA015,food_subsidy,714.98,2022-02-19,2024-10-23
1986,2,AA006,housing_support,359.44,2018-04-16,
1589,7,AA013,food_subsidy,575.99,2024-08-22,2025-01-13
1248,2,AA010,food_subsidy,1540.99,2019-05-11,2024-05-07
1801,1,AA012,food_subsidy,1128.11,2022-02-26,2025-04-06
1349,1,AA014,housing_support,353.29,2022-01-23,2023-02-27
1724,3,AA014,family_allowance,1861.11,2025-04-18,2024-01-14
1793,8,AA015,housing_support,2081.76,2024-08-23,2020-10-02
1850,2,AA009,housing_support,685.27,2023-03-19,2025-06-29
1344,1,AA016,housing_support,536.42,2020-05-18,2020-11-24
1348,5,AA020,food_subsidy,2212.26,2024-03-26,2020-02-22
1247,7,AA016,food_subsidy,1919.6,2025-09-29,2025-12-25
1502,8,AA001,family_allowance,806.17,2022-07-15,2021-06-08
1679,6,AA016,food_subsidy,1374.21,2022-10-09,
1563,6,AA012,food_subsidy,1188.99,2021-06-09,2019-05-10
1738,4,AA011,family_allowance,1882.91,2025-09-27,2020-06-05
1756,8,AA009,food_subsidy,1515.01,2023-11-19,2019-02-16
1852,4,AA010,family_allowance,966.11,2021-05-23,2023-12-28
1129,5,AA002,family_allowance,1428.06,2025-10-27,
