person_id,national_id,given_name,family_name,birth_date,gender,district,identity_status,alive
CP-1001,NID-1001,Miguel,Santos,2016-01-15,M,north,active,true
CP-1002,NID-1002,Maria,Dela Cruz,2018-01-15,F,south,active,true
CP-1003,NID-1003,Cara,Okafor,1957-02-14,F,central,deceased,false
CP-1004,NID-1004,Rafael,Aquino,2019-01-15,M,east,active,true
CP-1005,NID-1005,Rosalie,Bautista,2013-01-15,F,west,active,true
CP-1006,NID-1006,Miguel,Martinez,2014-01-15,M,north,active,true
CP-1007,NID-1007,Lola,Santos,1958-01-15,F,north,active,true
CP-1008,NID-1008,Rosa,Garcia,1954-01-15,F,west,active,true
CP-1009,NID-1009,Ana,Mendoza,1998-01-15,F,east,active,true
CP-1010,NID-1010,Pedro,Reyes,1971-01-15,M,central,active,true
CP-2001,NID-2001,Maria,Santos,1984-01-15,F,north,active,true
CP-2002,NID-2002,Juan,Dela Cruz,1988-01-15,M,south,active,true
CP-2004,NID-2004,Rosario,Aquino,1988-01-15,F,east,active,true
CP-2005,NID-2005,Eduardo,Bautista,1978-01-15,M,west,active,true
CP-2006,NID-2006,David,Martinez,1978-01-15,M,north,active,true
CP-1011,NID-1011,Miguel,Santos,2016-01-15,M,south,active,true
